Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Lil Tomate,2024-06-07 15:23:56,00:20:58,,Sweet Tooth: Season 3: Beyond the Sea (Episode 4),,Netflix Chrome MAC (Cadmium) HTML 5,00:46:10,Not latest view,US (United States)
Lil Tomate,2024-06-07 14:57:57,00:00:13,Autoplayed: user action: None; ,Trailer: Hit Man,TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:00:13,00:00:13,US (United States)
Lil Tomate,2024-06-07 02:27:30,00:23:00,Autoplayed: user action: None; ,Sweet Tooth: Season 3: Beyond the Sea (Episode 4),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:23:05,Not latest view,US (United States)
Lil Tomate,2024-06-07 01:47:15,00:40:05,Autoplayed: user action: User_Interaction; ,Sweet Tooth: Season 3: The Pack (Episode 3),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:42:38,00:42:38,US (United States)
Lil Tomate,2024-06-07 01:11:21,00:35:13,Autoplayed: user action: User_Interaction; ,Sweet Tooth: Season 3: Thank God I'm a Country Boy (Episode 2),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:42:48,00:42:48,US (United States)
Lil Tomate,2024-06-07 00:32:09,00:38:52,,Sweet Tooth: Season 3: The Beginning Is Also the End (Episode 1),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:44:12,00:44:12,US (United States)
Lil Tomate,2024-06-07 00:29:31,00:02:36,,Season 2 Recap: Sweet Tooth,RECAP,Samsung CE 2019 Muse-L UHD TV Smart TV,00:02:36,00:02:36,US (United States)
Lil Tomate,2024-06-07 00:29:12,00:00:04,Autoplayed: user action: None; ,Season 3 Main Character Clip: Bridgerton,HOOK,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:04,00:00:04,US (United States)
Lil Tomate,2024-06-05 17:10:56,00:00:04,Autoplayed: user action: None; ,Season 1 High Context Clip 3: Hitler and the Nazis: Evil on Trial,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:04,00:00:04,US (United States)
Lil Tomate,2024-06-05 16:18:45,00:00:04,Autoplayed: user action: None; ,Collateral: Limited Series (Trailer),TRAILER,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:05,00:00:05,US (United States)
Lil Tomate,2024-06-04 23:39:15,00:00:08,Autoplayed: user action: None; ,Designated Survivor (Trailer),TRAILER,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:08,00:00:08,US (United States)
Lil Tomate,2024-06-04 23:38:57,00:00:07,Autoplayed: user action: None; ,300: Rise of an Empire,,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:07,00:00:07,US (United States)
Lil Tomate,2024-06-04 23:38:01,00:00:53,Autoplayed: user action: None; ,300: Rise of an Empire_hook_primary_16x9,HOOK,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:53,00:00:53,US (United States)
Lil Tomate,2024-06-04 23:37:36,00:00:12,Autoplayed: user action: None; ,Limited Series Plot Clip: Eric,HOOK,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:12,00:00:12,US (United States)
Lil Tomate,2024-06-04 23:37:18,00:00:12,Autoplayed: user action: None; ,Derry Girls: Season 2 (Trailer),TRAILER,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:12,00:00:12,US (United States)
Lil Tomate,2024-06-04 23:37:01,00:00:04,Autoplayed: user action: None; ,Season 1 Trailer: Geek Girl,TRAILER,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:04,00:00:04,US (United States)
Lil Tomate,2024-06-04 23:36:47,00:00:09,Autoplayed: user action: None; ,1917_hook_04_16x9,HOOK,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:09,00:00:09,US (United States)
Lil Tomate,2024-06-04 23:36:35,00:00:06,Autoplayed: user action: None; ,Season 1 Main Character Intro Clip: Inside Man,HOOK,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:06,00:00:06,US (United States)
Lil Tomate,2024-06-04 23:36:29,00:00:04,Autoplayed: user action: None; ,Season 1 Moment of High Emotion Clip: You Don't Know Me,HOOK,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:04,00:00:04,US (United States)
Lil Tomate,2024-06-04 23:36:22,00:00:05,Autoplayed: user action: None; ,Collateral: Limited Series (Trailer),TRAILER,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:06,Not latest view,US (United States)
Lil Tomate,2024-06-03 23:31:14,00:51:06,,Bridgerton: Season 3: Old Friends (Episode 4),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:51:06,00:51:06,US (United States)
Lil Tomate,2024-06-02 17:43:28,00:00:40,,Heartland: Season 1_hook_primary_16x9,HOOK,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:40,00:00:40,US (United States)
Lil Tomate,2024-06-02 17:41:10,00:02:16,,Season 1 Trailer: Bodkin,TRAILER,Samsung CE 2019 Muse-L UHD TV Smart TV,00:02:16,00:02:16,US (United States)
Lil Tomate,2024-06-02 17:40:09,00:00:58,,White Collar: Season 1_hook_primary_16x9,HOOK,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:58,00:00:58,US (United States)
Lil Tomate,2024-06-02 17:37:52,00:02:15,,Season 1 Trailer: Vikings: Valhalla,TRAILER,Samsung CE 2019 Muse-L UHD TV Smart TV,00:02:15,00:02:15,US (United States)
Lil Tomate,2024-06-02 17:37:04,00:00:46,,Divergent_hook_primary_16x9,HOOK,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:46,00:00:46,US (United States)
Lil Tomate,2024-06-02 17:36:15,00:00:47,,Trailer: Colors of Evil: Red,TRAILER,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:47,00:00:47,US (United States)
Lil Tomate,2024-06-02 17:35:17,00:00:54,,Six Feet Under: Season 1_hook_primary_16x9,HOOK,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:54,00:00:54,US (United States)
Lil Tomate,2024-06-02 17:33:13,00:02:01,,Trailer: Dancing for the Devil: The 7M TikTok Cult,TRAILER,Samsung CE 2019 Muse-L UHD TV Smart TV,00:02:01,00:02:01,US (United States)
Lil Tomate,2024-06-02 17:31:37,00:01:33,,Season 1 Trailer: Raising Voices,TRAILER,Samsung CE 2019 Muse-L UHD TV Smart TV,00:01:33,00:01:33,US (United States)
Lil Tomate,2024-06-02 17:30:50,00:00:45,,A Million Ways to Die in the West_hook_primary_16x9,HOOK,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:45,00:00:45,US (United States)
Lil Tomate,2024-06-02 17:28:16,00:02:32,,Trailer: Atlas,TRAILER,Samsung CE 2019 Muse-L UHD TV Smart TV,00:02:32,00:02:32,US (United States)
Lil Tomate,2024-06-02 17:26:59,00:01:14,,On the Basis of Sex_hook_primary_16x9,HOOK,Samsung CE 2019 Muse-L UHD TV Smart TV,00:01:14,00:01:14,US (United States)
Lil Tomate,2024-06-02 17:25:04,00:01:52,,Trailer: Scavengers Reign - Season 1,TRAILER,Samsung CE 2019 Muse-L UHD TV Smart TV,00:01:52,00:01:52,US (United States)
Lil Tomate,2024-06-02 17:22:33,00:02:30,,Season 1 Trailer: Sweet Tooth,TRAILER,Samsung CE 2019 Muse-L UHD TV Smart TV,00:02:30,00:02:30,US (United States)
Lil Tomate,2024-06-02 17:21:44,00:00:47,Autoplayed: user action: None; ,Your Honor: Season 1_hook_primary_16x9,HOOK,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:47,00:00:47,US (United States)
Lil Tomate,2024-06-02 17:20:02,00:01:05,Autoplayed: user action: None; ,Season 3 Teaser Batch 2: Bridgerton,TEASER_TRAILER,Samsung CE 2019 Muse-L UHD TV Smart TV,00:01:05,00:01:05,US (United States)
Lil Tomate,2024-06-02 16:29:01,00:50:58,,Bridgerton: Season 3: Old Friends (Episode 4),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:51:11,Not latest view,US (United States)
Lil Tomate,2024-06-02 15:37:54,00:50:57,Autoplayed: user action: User_Interaction; ,Bridgerton: Season 3: Forces of Nature (Episode 3),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:51:10,00:51:10,US (United States)
Lil Tomate,2024-06-02 14:33:15,00:46:34,,Bridgerton: Season 3: How Bright the Moon (Episode 2),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:48:17,00:48:17,US (United States)
Lil Tomate,2024-06-02 13:38:44,00:53:35,,Bridgerton: Season 3: Out of the Shadows (Episode 1),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:54:16,00:54:16,US (United States)
Lil Tomate,2024-06-01 16:09:42,00:26:02,,Evil: Season 2: D Is for Doll (Episode 12),,Apple iPad Pro 11 in 3rd Gen (Wi-Fi/Cell) iPad,00:26:02,00:26:02,US (United States)
Lil Tomate,2024-06-01 16:01:37,00:07:00,,Evil: Season 2: B Is for Brain (Episode 8),,Apple iPad Pro 11 in 3rd Gen (Wi-Fi/Cell) iPad,00:11:30,00:11:30,US (United States)
Lil Tomate,2024-06-01 15:57:59,00:03:28,,Evil: Season 2: S Is for Silence (Episode 7),,Apple iPad Pro 11 in 3rd Gen (Wi-Fi/Cell) iPad,00:47:17,00:47:17,US (United States)
Lil Tomate,2024-06-01 13:37:44,00:34:29,,Evil: Season 2: S Is for Silence (Episode 7),,Netflix Chrome MAC (Cadmium) HTML 5,00:38:39,Not latest view,US (United States)
Lil Tomate,2024-06-01 13:09:14,00:28:16,,Evil: Season 2: C Is for Cop (Episode 6),,Netflix Chrome MAC (Cadmium) HTML 5,00:47:07,00:47:07,US (United States)
Lil Tomate,2024-06-01 13:07:52,00:00:08,Autoplayed: user action: None; ,A Million Ways to Die in the West_hook_04_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:08,00:00:08,US (United States)
Lil Tomate,2024-06-01 13:07:30,00:00:17,Autoplayed: user action: None; ,Main Character Intro Clip: Atlas,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:17,00:00:17,US (United States)
Lil Tomate,2024-06-01 13:07:06,00:00:23,,Atlas,,Netflix Chrome MAC (Cadmium) HTML 5,00:00:23,00:00:23,US (United States)
Lil Tomate,2024-06-01 12:13:53,00:00:21,Autoplayed: user action: None; ,Scavengers Reign: Season 1_hook_05_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:21,00:00:21,US (United States)
Lil Tomate,2024-05-31 16:08:49,00:00:54,Autoplayed: user action: None; ,"Roswell, New Mexico: Season 1_hook_primary_16x9",HOOK,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:54,00:00:54,US (United States)
Lil Tomate,2024-05-31 01:19:44,00:00:06,Autoplayed: user action: None; ,Season 1 Cliffhanger Clip: Geek Girl,HOOK,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:06,00:00:06,US (United States)
Lil Tomate,2024-05-30 21:37:15,00:12:32,,Peaky Blinders: Season 6: Black Day (Episode 1),,Apple iPad Pro 11 in 3rd Gen (Wi-Fi/Cell) iPad,00:14:12,00:14:12,US (United States)
Lil Tomate,2024-05-30 21:33:40,00:03:34,,Seasons 1-5 Recap: Peaky Blinders,RECAP,Apple iPad Pro 11 in 3rd Gen (Wi-Fi/Cell) iPad,00:03:34,00:03:34,US (United States)
Lil Tomate,2024-05-30 21:32:26,00:00:06,,Eric: Limited Series: Episode 2,,Apple iPad Pro 11 in 3rd Gen (Wi-Fi/Cell) iPad,00:36:41,00:36:41,US (United States)
Lil Tomate,2024-05-30 20:22:56,00:00:07,Autoplayed: user action: None; ,Main Character Intro Clip: Atlas,HOOK,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:07,Not latest view,US (United States)
Lil Tomate,2024-05-30 19:26:57,00:27:58,Autoplayed: user action: User_Interaction; ,Eric: Limited Series: Episode 2,,Samsung CE 2019 Muse-L UHD TV Smart TV,00:29:04,Not latest view,US (United States)
Lil Tomate,2024-05-30 19:00:04,00:26:05,,Eric: Limited Series: Episode 1,,Samsung CE 2019 Muse-L UHD TV Smart TV,00:49:22,00:49:22,US (United States)
Lil Tomate,2024-05-30 18:59:26,00:00:36,Autoplayed: user action: None; ,Limited Series Main Character Intro Clip 2: Eric,HOOK,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:36,00:00:36,US (United States)
Lil Tomate,2024-05-30 18:58:12,00:01:10,Autoplayed: user action: None; ,Limited Series Cliffhanger Clip: Eric,HOOK,Samsung CE 2019 Muse-L UHD TV Smart TV,00:01:10,00:01:10,US (United States)
Lil Tomate,2024-05-30 13:12:01,00:00:11,Autoplayed: user action: None; ,La vita che volevi (The Life You Wanted): Limited Series - Baseline Clip 1,HOOK,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:11,00:00:11,US (United States)
Lil Tomate,2024-05-30 10:47:05,00:00:30,Autoplayed: user action: None; ,Patrick Melrose_hook_05_16x9,HOOK,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:30,00:00:30,US (United States)
Lil Tomate,2024-05-30 10:46:02,00:01:00,Autoplayed: user action: None; ,Main Character Intro Clip: Atlas,HOOK,Samsung CE 2019 Muse-L UHD TV Smart TV,00:01:00,Not latest view,US (United States)
Lil Tomate,2024-05-30 10:45:47,00:00:09,,Jurassic World: Chaos Theory: Season 1: Aftershock (Episode 1),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:09,00:00:09,US (United States)
Lil Tomate,2024-05-30 03:26:58,00:05:58,,Archer: Season 1: Pilot: Mole Hunt (Episode 1),,Apple iPad Pro 11 in 3rd Gen (Wi-Fi/Cell) iPad,00:05:58,00:05:58,US (United States)
Lil Tomate,2024-05-30 03:20:03,00:06:32,,Wildfire: Season 1: Pilot (Episode 1),,Apple iPad Pro 11 in 3rd Gen (Wi-Fi/Cell) iPad,00:06:32,00:06:32,US (United States)
Lil Tomate,2024-05-29 23:32:48,00:00:27,Autoplayed: user action: None; ,School Spirits: Season 1_hook_primary_16x9,HOOK,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:27,00:00:27,US (United States)
Lil Tomate,2024-05-29 00:00:23,00:18:26,,Bridgerton: Season 1: Art of the Swoon (Episode 3),,Apple iPad Pro 11 in 3rd Gen (Wi-Fi/Cell) iPad,00:18:26,00:18:26,US (United States)
Lil Tomate,2024-05-28 18:19:14,00:23:23,,Outlander: Season 5: Never My Love (Episode 12),,Apple iPad Pro 11 in 3rd Gen (Wi-Fi/Cell) iPad,00:48:18,00:48:18,US (United States)
Lil Tomate,2024-05-28 18:16:17,00:02:50,,Outlander: Season 6: Echoes (Episode 1),,Apple iPad Pro 11 in 3rd Gen (Wi-Fi/Cell) iPad,00:02:50,00:02:50,US (United States)
Lil Tomate,2024-05-28 18:15:39,00:00:06,,The Witcher: Season 1: The End’s Beginning (Episode 1),,Apple iPad Pro 11 in 3rd Gen (Wi-Fi/Cell) iPad,00:30:42,00:30:42,US (United States)
Lil Tomate,2024-05-28 18:15:28,00:00:08,,Vikings: Season 1: Dispossessed (Episode 3),,Apple iPad Pro 11 in 3rd Gen (Wi-Fi/Cell) iPad,00:05:37,00:05:37,US (United States)
Lil Tomate,2024-05-27 17:27:36,00:28:15,,The Witcher: Season 1: The End’s Beginning (Episode 1),,Apple iPad Pro 11 in 3rd Gen (Wi-Fi/Cell) iPad,00:28:16,Not latest view,US (United States)
Lil Tomate,2024-05-27 17:23:38,00:03:21,,Vikings: Season 1: Dispossessed (Episode 3),,Apple iPad Pro 11 in 3rd Gen (Wi-Fi/Cell) iPad,00:05:19,Not latest view,US (United States)
Lil Tomate,2024-05-27 16:46:46,00:33:59,,Vikings: Season 1: Wrath of the Northmen (Episode 2),,Apple iPad Pro 11 in 3rd Gen (Wi-Fi/Cell) iPad,00:46:12,00:46:12,US (United States)
Lil Tomate,2024-05-25 16:04:08,00:00:04,Autoplayed: user action: None; ,Wildfire: Season 1_hook_01_16x9,HOOK,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:04,00:00:04,US (United States)
Lil Tomate,2024-05-25 01:16:43,00:00:10,Autoplayed: user action: None; ,Wildfire: Season 1_hook_01_16x9,HOOK,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:10,Not latest view,US (United States)
Lil Tomate,2024-05-25 01:16:18,00:00:07,Autoplayed: user action: None; ,Villain / Antagonist Clip: Atlas,HOOK,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:07,00:00:07,US (United States)
Lil Tomate,2024-05-25 01:15:58,00:00:03,Autoplayed: user action: None; ,Archer: Season 1: Pilot: Mole Hunt (Episode 1),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:03,Not latest view,US (United States)
Lil Tomate,2024-05-25 01:15:42,00:00:14,Autoplayed: user action: None; ,Archer: Season 1 - CLM 5,HOOK,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:14,00:00:14,US (United States)
Lil Tomate,2024-05-24 21:38:20,00:26:20,Autoplayed: user action: User_Interaction; ,Rachel Feinstein: Big Guy,,Samsung CE 2019 Muse-L UHD TV Smart TV,00:26:21,00:26:21,US (United States)
Lil Tomate,2024-05-24 16:29:34,00:00:20,Autoplayed: user action: None; ,Teaser: Atlas,TEASER_TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:00:20,00:00:20,US (United States)
Lil Tomate,2024-05-24 15:29:45,00:00:29,Autoplayed: user action: None; ,Wildfire: Season 1_hook_01_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:29,Not latest view,US (United States)
Lil Tomate,2024-05-24 15:29:34,00:00:04,Autoplayed: user action: None; ,Wildfire: Season 1_hook_01_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:04,Not latest view,US (United States)
Lil Tomate,2024-05-24 15:28:13,00:01:25,Autoplayed: user action: None; ,Teaser: Atlas,TEASER_TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:00:00,Not latest view,US (United States)
Lil Tomate,2024-05-23 22:07:44,00:00:06,Autoplayed: user action: None; ,The Matrix Resurrections_hook_03_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:06,00:00:06,US (United States)
Lil Tomate,2024-05-23 22:07:29,00:00:07,Autoplayed: user action: None; ,Trailer: Rachel Feinstein: Big Guy,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:07,00:00:07,US (United States)
Lil Tomate,2024-05-19 22:50:53,00:00:04,Autoplayed: user action: None; ,Dark Waters_hook_02_16x9,HOOK,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:04,00:00:04,US (United States)
Lil Tomate,2024-05-19 22:49:33,00:00:01,Autoplayed: user action: None; ,Outlander: Season 1: Sassenach (Episode 1),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:01,00:00:01,US (United States)
Lil Tomate,2024-05-19 22:49:05,00:00:18,Autoplayed: user action: None; ,Archer: Season 1 - CLM 5,HOOK,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:18,Not latest view,US (United States)
Lil Tomate,2024-05-19 22:48:28,00:00:35,Autoplayed: user action: None; ,Season 4 High Context Clip: The Parisian Agency: Exclusive Properties,HOOK,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:35,00:00:35,US (United States)
Lil Tomate,2024-05-19 02:06:53,00:00:36,Autoplayed: user action: None; ,The Book of Clarence_hook_05_16x9,HOOK,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:36,00:00:36,US (United States)
Lil Tomate,2024-05-18 02:59:53,00:22:50,Autoplayed: user action: User_Interaction; ,Bridgerton: Season 3: Old Friends (Episode 4),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:51:06,Not latest view,US (United States)
Lil Tomate,2024-05-18 02:56:21,00:00:08,,Bridgerton: Season 3: Old Friends (Episode 4),,Netflix Chrome MAC (Cadmium) HTML 5,00:00:27,Not latest view,US (United States)
Lil Tomate,2024-05-18 02:19:38,00:36:11,,Bridgerton: Season 3: Forces of Nature (Episode 3),,Netflix Chrome MAC (Cadmium) HTML 5,00:51:03,Not latest view,US (United States)
Lil Tomate,2024-05-18 01:36:17,00:42:50,,Bridgerton: Season 3: How Bright the Moon (Episode 2),,Netflix Chrome MAC (Cadmium) HTML 5,00:48:10,Not latest view,US (United States)
Lil Tomate,2024-05-17 17:23:54,00:38:40,,Bridgerton: Season 3: Out of the Shadows (Episode 1),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:54:12,Not latest view,US (United States)
Lil Tomate,2024-05-17 17:21:03,00:02:48,,Season 2 Recap: Bridgerton,RECAP,Samsung CE 2019 Muse-L UHD TV Smart TV,00:02:48,00:02:48,US (United States)
Lil Tomate,2024-05-17 17:20:40,00:00:05,,Bridgerton: Season 1: Shock and Delight (Episode 2),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:56:03,00:56:03,US (United States)
Lil Tomate,2024-05-16 15:31:23,00:00:24,Autoplayed: user action: None; ,The Book of Clarence_hook_05_16x9,HOOK,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:24,Not latest view,US (United States)
Lil Tomate,2024-05-16 15:30:54,00:00:16,Autoplayed: user action: None; ,"Season 1 Character Intro Clip 3: Ashley Madison: Sex, Lies & Scandal",HOOK,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:16,00:00:16,US (United States)
Lil Tomate,2024-05-15 18:19:13,00:00:44,Autoplayed: user action: None; ,The Matrix Resurrections_hook_04_16x9,HOOK,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:44,00:00:44,US (United States)
Lil Tomate,2024-05-15 18:18:40,00:00:21,Autoplayed: user action: None; ,The Book of Clarence_hook_05_16x9,HOOK,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:21,Not latest view,US (United States)
Lil Tomate,2024-05-15 18:18:34,00:00:04,Autoplayed: user action: None; ,"Season 1 Trailer 2: Thank You, Next",TRAILER,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:04,00:00:04,US (United States)
Lil Tomate,2024-05-15 18:17:54,00:00:31,Autoplayed: user action: None; ,Archer: Season 1 - CLM 6,HOOK,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:31,00:00:31,US (United States)
Lil Tomate,2024-05-15 17:01:37,00:00:04,Autoplayed: user action: None; ,Season 6 Trailer: Outlander,TRAILER,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:04,00:00:04,US (United States)
Lil Tomate,2024-05-15 15:08:18,01:18:24,,Kevin Hart: The Kennedy Center Mark Twain Prize for American Humor,,Netflix Chrome MAC (Cadmium) HTML 5,01:18:24,01:18:24,US (United States)
Lil Tomate,2024-05-15 15:07:55,00:00:06,Autoplayed: user action: None; ,Madame Web_hook_02_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:06,00:00:06,US (United States)
Lil Tomate,2024-05-14 17:50:17,00:06:50,,Blood of Zeus: Season 1: Past is Prologue (Episode 2),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:06:55,00:06:55,US (United States)
Lil Tomate,2024-05-14 17:43:16,00:06:59,Autoplayed: user action: User_Interaction; ,Blood of Zeus: Season 1: A Call to Arms (Episode 1),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:24:24,00:24:24,US (United States)
Lil Tomate,2024-05-13 13:45:42,00:00:31,Autoplayed: user action: None; ,Comedy Clip 6: Kevin Hart: The Kennedy Center Mark Twain Prize for American Humor,HOOK,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:31,00:00:31,US (United States)
Lil Tomate,2024-05-12 18:10:40,01:09:21,Autoplayed: user action: User_Interaction; ,Mother of the Bride,,Samsung CE 2019 Muse-L UHD TV Smart TV,01:24:28,01:24:28,US (United States)
Lil Tomate,2024-05-12 18:09:37,00:00:53,Autoplayed: user action: None; ,Genre Specific Moment Clip 2: Mother of the Bride,HOOK,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:53,00:00:53,US (United States)
Lil Tomate,2024-05-12 18:09:09,00:00:26,Autoplayed: user action: None; ,Season 1 Inciting Incident Clip: Bodkin,HOOK,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:26,00:00:26,US (United States)
Lil Tomate,2024-05-12 18:08:58,00:00:09,Autoplayed: user action: None; ,Season 1 Act 2 Conflict Clip: Bodkin,HOOK,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:09,00:00:09,US (United States)
